[2021-09-15 19:43:35,876] INFO basehttp.log_message: "GET /project/?order_by=id&direction=asc&show_all_projects=True& HTTP/1.1" 200 20584
[2021-09-15 19:43:39,254] INFO basehttp.log_message: "GET /project/?order_by=id&direction=des&show_all_projects=True& HTTP/1.1" 200 20209
[2021-09-15 19:43:47,152] INFO basehttp.log_message: "GET /project/?page=2&show_all_projects=True&order_by=id&direction=des& HTTP/1.1" 200 20613
[2021-09-15 19:43:55,519] INFO basehttp.log_message: "GET /project/?page=3&show_all_projects=True&order_by=id&direction=des& HTTP/1.1" 200 20498
[2021-09-15 19:43:55,639] WARNING log.log_response: Not Found: /favicon.ico
[2021-09-15 19:44:00,449] INFO basehttp.log_message: "GET /project/?order_by=id&direction=des&show_all_projects=True& HTTP/1.1" 200 20209
[2021-09-15 19:44:00,664] WARNING log.log_response: Not Found: /favicon.ico
[2021-09-15 19:44:03,438] INFO basehttp.log_message: "GET /project/?order_by=id&direction=asc&show_all_projects=True& HTTP/1.1" 200 20584
[2021-09-15 19:44:23,575] INFO basehttp.log_message: "GET /project/?order_by=id&direction=des&show_all_projects=True& HTTP/1.1" 200 20213
[2021-09-15 19:44:37,447] INFO basehttp.log_message: "GET /project/?order_by=name&direction=des&show_all_projects=True& HTTP/1.1" 200 20379
[2021-09-15 19:44:42,146] INFO basehttp.log_message: "GET /project/?order_by=name&direction=des&show_all_projects=True& HTTP/1.1" 200 20379
[2021-09-15 19:44:50,065] INFO basehttp.log_message: "GET /project/?page=2&show_all_projects=True&order_by=name&direction=des& HTTP/1.1" 200 20554
[2021-09-15 19:44:50,244] WARNING log.log_response: Not Found: /favicon.ico
[2021-09-15 19:45:00,898] INFO basehttp.log_message: "GET /project/?page=3&show_all_projects=True&order_by=name&direction=des& HTTP/1.1" 200 20578
[2021-09-15 19:45:17,822] INFO basehttp.log_message: "GET /project/?order_by=name&direction=asc&show_all_projects=True& HTTP/1.1" 200 20381
[2021-09-15 19:45:18,042] WARNING log.log_response: Not Found: /favicon.ico
[2021-09-15 19:48:03,482] INFO basehttp.log_message: "GET /project/?order_by=name&direction=asc&show_all_projects=True& HTTP/1.1" 200 20623
